tweet|reason
lifebox eskiden kullanıyorum mailim telefonuma giris saglayamıyorum elimde odeme makbuzu telefonun ait oldugu edevlet sisteminden cıkıyor turkcelli aradıgımda yararlı sekilde yardımcı olmuyorlar bununla rehberim benzeri seye ulasamıyorum|ürün
lifebox aldım yeni aldıgıma bin pisman oldum surekli yukleme hata olustu diyor telefondan aynı sekilde bilgisayardan mobil baglantıdan da gundur ugrasa ugrasa fotograflarımı yukleyebildim kötü olacagını bilseydim depolama sitelerinden alırdım|ürün
lifeboxu acamıyorum kod gonder diyorum olmuyor epostayı kontrol ediyorum olmuyor icindeki fotograflara ulasmam lazım anılarım var epostanın yanlıs girilmesiyle kod gelmedi gunden lifebox girisi yapamıyorum yardımcı olursanız sevinirim lutfen|ürün
merhaba epostamı sifremi yanlıslıkla bir yıl lifebox hesabımdan cıkıs yaptım defalarca sifreyi degistirmistim sifremi eposta hesabımı unuttum ayrıca resimlerimi telefon bilgilerimi kaybettim hesabımı acabilirim resimlerimi bilgilerimi kurtarabilirim|ürün
lifebox hesabıma giris yapamıyorum giris yapmaya calıstıgımda reddediliyor sorunun kısa zamanda cozulmesini istiyorum bilgilerime ulasabilmem uygulamaya kısa surede giris yapmam gerekiyor operator degisikligi sırasında problemle karsılasmıstım sorunu cozdum sorun tekrar karsıma cıktı ilgilenilmesini bekliyorum tesekkur ederim|uygulama
merhabalar yurt dısında yasıyorum lifebox hesabımda onemli bilgilerim bulunmaktadır numaram aktif olmadıgı kullanamıyorum eposta adresim mevcut eski numarama dogrulama kodu gonderiliyor gunler dilerim|ürün
yılında lifebox uygulamasına yedekledigim fotograf videolarımı indirirken problem yasıyorum orijinal boyutu mb olan bir videoyu lifebox uygulamasında orijinal boyutu mb olarak gorunmesine indirdigimde video sıkıstırılarak mb olarak iniyor gun boyunca lifebox eposta uzerinden gorusme sagladım botla mesajlasıyormusum yanıtlar alıyorum bir cozum uretilmedi hesabımda premium paket bulunmasına yedeklemelerimi orijinal boyutlarında indiremiyorum|uygulama
paycell lifebox cb uygulamasına bilgim dısında uye olmusum lifebox uyeligimi iptal ettim paycell iptal olmadı iptalini istiyorum otomatik odeme faturamı oduyorum faturamı inceleyince fark ettim bilgim dısında uye olup odeme yapmıs oldum odemelerimin iadesini talep ediyorum|fatura
telefon numaram var eposta hesabımın sifresini hatırlayamıyorum telefon numaram hesabımı kurtarmam mumkun olmuyor deniyorum tekrardan mail hesabına yonlendiriyor sacma mi yıllardır uygulamayı kullanıyoruz ikisini zorunlu kılıyorsunuz ki ekstra kurtarma secenegini yedek olarak ekliyoruz acil bir sekilde cozume kavusmasını istiyorum|uygulama
lifebox aboneligimi iptal etmek istiyorum iptal edemiyorum iptal smsi gonderdigimde iptal etmek istediginiz pakete ait uyelik bulunmuyor mesajı geldi faturama tutar yansıtılmaya devam ediliyor acil sorunun cozulmesini istiyorumturkcell lifebox|fatura
lifebox aboneligimi iptal etmek istiyorum iptal edemiyorum iptal smsi gonderdigimde iptal etmek istediginiz pakete ait uyeliginiz bulunmuyor mesajı geldi faturama tutar yansıtılmaya devam ediliyor acil sorunun cozulmesini istiyorumturkcell lifebox|fatura
lifebox seneler kullanıyordum fotolarım vardı yedekleme yapmıstım sonrasında actım fotograflar silinmis yeni telefonumdan yedekleme yapmaya basladı cop kutusunda silinmis lutfen yardımcı olmanızı bekliyor olacagım|ürün
google mail adresi kayıt oldum kurtarma epostası olarak bir secenek belirlemistim ancak telefon degisikligi yaptım telefon numara degistigi google giris yapamıyorum sifreyi degistiremiyorum kayıtlı numaram guncel degil hesabıma giris yapmak istiyorum turkcell kullanıcısı degilim|diğer
lifebox uygulamasını guvenle kullanıyordum sifremi unuttum askerdeyken kıbrıstaki telefon numaramı sisteme kaydetmistim turkiyeye gelince hattım kapandı kurtarma epostamın sifresini hatırlamıyorum fotografıma erisemiyorum lutfen yardımcı olur musunuz|uygulama
uygulamayı actıgımda karsıma epostaya gonderilen kodu gir uyarısı cıkıyor epostama kod gelmiyor uygulamayı sildim tekrar yukledim aynı uyarı karsılasıyorum uzun zamandır boyle yapmam gerekiyor kısa zamanda geri donus yapılmasını rica ediyorum|uygulama
lifebox bir suredir kullanıyorum fotograf videolarıma erisim saglamam gerekti yukleme gerceklesmiyor destek hizmeti aldıgımda ios surumu dosya formatlarının degistigi yonunde cevap alıyorum magdur etti bununla iyilestirme istiyorum yardımcı olunmasını istiyorum|ürün
hattımı degistirdim hesabıma giremiyorum musteri hizmetlerinde konuyla bilgi yok onemli evraklara ulasamıyorum bir sorun oldugunda yardımcı olmuyor uygulamadan ucret talep ediliyor resmen bilgilerinize erisim odeme yapmak zorunda bırakılıyorsunuz|uygulama
lifebox numaramı degistirdim kayıtlı epostam kapandı giris yapamıyorum kurtarma postam acık giris yapamıyorum acil destek lutfen gmail adresim icom lifeboxa guveniyorum umarım duzeltilir lifebox destek|ürün
yaklasık yıl boyunca ucretini odeyip premium olarak kullandıgım lifebox uygulamasına yedeklenmis olan fotograflarım erisim saglayamıyorum fotograflar silindi yere sikayetci olacagımı bildirmek isterim fotograflarıma iceriklerime erisebilmem adına sizlerden donus bekliyorum ucretini odedigim yedeklenen icerikleri silme hakkına sahip olmadıgınızı dusunuyorum kafanıza kural uretmeyiniz bir ucret odendi istinaden yedekleme yapıldı|ürün
bugun gelen eposta tv lifebox adıma duzenlenmis abonelik faturası geldi internet uzerinden aboneligin yapıldıgı yazıyor turkcelli aradım uzerime fatura yok kontorlu hat kullanıyorum turkcell iletisime gecip sordum gozuken bir yok onayım olmadan adıma abonelik yapılarak fatura olusturuldugu tuketici hakem heyetine sikayette bulunacagım|fatura
lifeboxs hediyemi vermiyor indirdim gb vermesi lazım lifebox yazdım olmadı vermedi hattıma yuklenecek dedi bir cidden turkcell sorunlarından bıktım duzeltilmezse hattımı tarifeye gecirecegim rica ediyorum duzeltilsin|ürün
lifebox hesabımda eposta hesabı farklı hesaplarım var icerisinde fotograf videolarım vardı hesaplarıma giris yapamıyorum yardımcı olursanız sevinirim simdiden tesekkurler sifremi unuttum kısmından giris yapmaya calıssam mail adresime telefon numarama sıfırlama bir kod gelmiyor maalesef|ürün
de actıgım lifebox hesabımı an guncel kullandıgım mail adresim donem kullandıgım an gecerli olmayan telefon numaram acmıstım gelen maili gormedigim hesabımı onaylamadım uzerinden zaman gecti telefonumu degistirdim an giris yapmaya calıstıgımda sifremi hatırlamadıgım maile sifre yenileme kodu talep ettigimde onaylanmadıgı gelmemekte kayıtlı telefon numaram eski kullanmadıgım numara oldugu sekilde sifremi yenileyememekteyim icerisinde bulunan dosyalarıma ulasmam gerekiyor lifebox ekibi yardımcı olmuyor mail uzerinden yazmama yapabilecekleri bir olmadıgını ilettiler icerisinde bulunan dosyalarım cop oldu|ürün
merhaba telefon numaram mail adresim yanlıs bicimlendiriliyor sifremi yenileyemiyorum yapmam gerekiyor icinde degerli resimlerim var lutfen hızlı bir donus yapın numaradan ulasırsanız olur operator|diğer
girmeme life box onay kodu istiyor kod gelmiyor yardımcı olursanız sevinirim eposta degistir diyorum bir sorun var hatası alıyorum gundur cidden ayıp yani yaptıgınız uygulama anlamıyorum gormuyor bizi|uygulama
sifremi unuttum lifeboxta kayıtlı numaram kapandı tekrar giris yapabilirim eposta yeni sifre almak istedim epostaya gelen kodu girdigimde eski telefon numarasına gidiyor sifremi numara kapalı oldugu yenileyemiyorum yapmalıyım|ürün
lifeboxa giris yapmaya calısıyorum eposta dogrulama kodu isteniyor kod gelmiyor yuzden sekilde giris yapamıyorum yardımcı olabilir misiniz aksi takdirde bilgilerim silinecek bitmis olacak lutfen konuyu hemen cozun gunler|ürün
telefon numaram ait lifebox hesabıma giremiyorum eposta oglumun adına oda unutmus eski fotograflar videolar ondaydı sifre unuttugumuz epostaya gidiyor geri alabilirim|ürün
lifebox giris yapamıyorum eposta degistir diyorum eposta adresime kod gelmiyor ay oldu hatayı alıyorum aradım bir cozum bulunamadı telefon numarası uzerinden giris yapmaya calıstım olumlu sonuc bulunamadı size zahmet bir cozum bulalım icindeki bilgiler silinecek|ürün
dogrulama kodu gelmiyor eposta guvenlik kodu yanlıs oldugu kod gelmiyor eposta adresimi degistirip kod istedigimde kod gelmiyor eposta adresimi degistirdigimde hata veriyor dogrulama kodu gelmiyor hesaba giris yapamıyorum olacak|diğer
lifebox hesabıma giremiyorum telefonla giremiyorum mailimi bilmiyorum normalde telefon numarama gelen mesajla girerdim maili unuttum paralı alan hizmeti satın almıstım giremiyorum bir musteri iletisim sistemi parayı almayı biliyorlar|ürün
lifebox giris yapamıyorum eposta adresime sifre sıfırlama linki gonderiliyor dogrulama kodu eski iptal edilen telefon numarasına gonderiliyor eposta dogrulama kodu almak istiyorum acil yardımcı olursanız sevinirim dogrulama linki gelen numaram iptal olalı yıllar oldu hotmail hesabım hala aktif|ürün
lifebox yardım lifebox sifremi unuttum mailime sifre gelmiyor giris yapamıyorum numarama yonlendiriyor numaramı degistirdim acil yardım aydır giris yapamadıgım ay fotolarım kendiliginden silinecek|ürün
bir gectim lifebox devam etmesini istiyordum lifebox ayarlarından paketi alamıyorum premiuma gecemiyorum gecebildigim paketide odeyemiyorum uygulama telefonuma kod gondermiyor yardımcı olur musunuz lutfen|uygulama
lifebox kullanmadım faturama uyelik bedeli yansıtılmıs iptal edin iade yapın diyorum iptal cayma bedeli cıkıyor yere kullanmadıgım uygulama tl oduyorum sikayetimi iletsem bir cozum sunulamıyor seve seve odeyeceksiniz demek suslu cumleler kuruyorlar olumlu donus yapamadıkları uzgunlermis faturaya ekliyorlar online islemlerden sikayet yazmamı engelliyorlar twitter instagram facebook ulasabildigim yerden yazmaya basladım|fatura
dogrulama kodu alamıyorum eski epostamı unuttum yeni epostama kod yolluyorum gelmiyor sorunu gidermenizi istiyorum cok sayıda deneme yapıldı lutfen tekrar deneyiniz yazısı cıkıyor onemli fotograflarım icinde var kurtarılmasını istiyorum lutfen yardımcı olun|diğer
lifebox dogrulama kodu gelmiyor lifeboxa giris yapamıyorum bir sacmalık zaman girdigim uygulamada neyin dogrulama kodu eposta adresim ulasmak istersen ulasın lutfen kısa zaman haber bekliyorum boyledir sacmalık olmaz|uygulama
lifebox hesabıma giris yapamıyorum numaram kayıtlı postam farklı oldugu bir turlu giris saglayamıyorum eski postamı unuttum yapacagımı bilemiyorum sikayetimin bir an giderilmesini umut ediyorum|ürün
turkcell lifebox gb uyeligimi iptal etmek istiyorum iptal etmek sms gonderin diyorlar sms gonderdigimde bir paketiniz bulunmamaktadır diyorlar ay ucreti faturama yansıyor kullanmadıgım bir seye para odemek istemiyorum konuda turkcell yardımcı olmuyor|fatura
lifebox eposta guvenlik kodu istiyor kod gelmiyor giremiyorum acil yardım mmobil veri iile girdim wifiden yaptım aynı kod gelmiyor donusunuz yapmanızı bekliyorum yardımmm lutfen musteri hizmetleri yardımcı olmuyor|ürün
lifebox silinemeyen bir program olması gercekten sacmalık linki var surekli ugrasmama silmek acılmayısı buyuk sıkıntı yonlendirmeleri yapmama ortadan kaldıramadıgım silinmeyisi sıkıntılı bir program internet uzerinden video acıklamaları okumama bahsedilen mylife sayfasının acılmayısı sil iptal yazısının cıkmayısı diyeyim|ürün
yaklasık yıldır lifebox kullanıyordum surekli abonelik yapmam mesaj atıyorlardı abonelik yapmadım fotograflarım silindi lifebox bin tane fotografımı sildiler geriye donuk bir anım kalmadı hepsini sildiler fotograflarımı geri istiyorum|ürün
telefon numarası degistirdim posta adresti bulamıyorum yuzden yeni telefonumda giris yapamıyorum uzun bir zaman hesaba giris yapılmadı turkcell aradıgımda yardımcı olamıyoruz bir yanıt aldım bir yol izlemeliyim|diğer
hayatım lifeboxa ailem cocuklarım dogdu andan gecmis vefat eden yakınlarım lutfen yaptıysam acılmıyor yardımcı olun eposta onaylamıyor aydır ugrasıyorum|ürün
lifebox hesabıma giris yapamıyorum lifebox eski posta hesabıma kod gonderiyor koda ulasamıyorum lutfen ilgilenir misiniz fotograflarıma videolarıma acilen ulasmam lazım acilen donus yapar mısınız lutfen onemli acilen yardım eder misiniz lutfen|ürün
icinde sahsi ailemin ozel hayatımı alakadar eden hesabım numaram gmail hesabımı kullanarak reddedildi yardım lutfen hesabımı geri kurtarabilirim hesabım numara gmail hesabım ustune alındı yardım|diğer
uygulamaya giris yapamıyorum epostamı degistirdigim lifeboks uygulamasına giris yapamıyorum lifeboks hesabım vardı onay kodu gelmiyor uygulamaya giris yapamıyorum postamı degistirdigim lifeboks uygulamasına giris yapamıyorum lifeboks hesabım vardı onay kodu gelmiyor|uygulama
hesap sifre yenileme hesabı kurarken kullandıgım numaraya iletisimim postaya var postaya sifre yenileme baglantısı yolladıgım zaman linke tıkladıgımda tekrardan numaraya kod gidiyor numaraya iletisimim tarafıma bir an bir seylerin yapılmasını istiyorum|diğer
telefonum sıfırlandı eski hesabıma giremedim lifeboxa giremiyorum eski hesabımı istiyor ulasamıyorum sifremi unuttum giriyorum eski hesabıma link gonderiyor lifeboxta resimlerim numaralarım videolarım var yardımcı olabilir misiniz|ürün
lifebox uyeligimizin iptali musteri danısmanımızla defalarca konusmamıza iptal edildigi soylendigi halde iptal edilmemis surekli sms geliyor odemediginiz fatura var icra baslatıyoruz sms geliyor istemedigimiz halde abone yapıyorlar tlye anlastıgımız paketi bir anda haber vermeden tlye cıkarıyorlar turkcell superonlinea yakısmıyor|fatura
ucretsiz gb kullandıgım lifebox tan memnun kaldıgım gb saklama alanı satın aldım yedeklenen fotografların telefondan yer ac bolumunde liste acılmadan programdan surekli olarak atıyor verimli kullanamıyorum videoları yedekleyemiyor|ürün
lifebox uygulamasına giris yapıyorum bir sure bakabiliyorum eski fotograflarıma bakarken direk uygulamadan atıyor rahatsızım konudan lutfen bir cozum bulun bosuna depolama almayalım geri donuslerinizi bekliyorum rica ediyorum|uygulama
merhaba lifebox yedek mail istedi girdim kod gitmedigi giris yapamıyorum mail adresime gelmesini giriyorum sifre gelmiyor onemli evraklarım resimlerim var acil halletmem lazım surekli ugrasıyorum lutfen yardım edin acil|ürün
lifebox hesabıma girdim resimlerim yok kurtarmak yapmalıyım sifremi unuttum mu denedim olmadı musteri hizmetlerine ulasacagımı bilmiyorum lutfen sesimi duyun musteri temsilcisine telefon numarası ulasabilir miyim ugrasırken yeni hesap acılmıs senelik resimlerim uctu sesimi duyan var mı|ürün
lifebox uygulaması telefon numaramı iptal etmistim gmail hesabım kayıtlıydı gmail hesabım sifresi giris yapamıyorum sifrelerim degisiklik yaptıgım halde lifebox uygulamasına giris yapamıyorum ilgilenirseniz sevinirim|uygulama
lifeboxı yıllardır kullanıyordum kendine hesaptan cıkıs yapmıs sifremi unuttum bastıgımda epostamı girmeme eposta yollamıyor spama bakıyorum spam kutusuna bakın deyip gecistirmeye kalkmayın bin tane fotom var icinde hicbirine ulasamıyorum cozulsun can sıkıcı olmaya basladı durum|ürün
lifeboxtan gblık bir paket satın aldım aldıgım paketi kullanırken toplam gb olan fotograflarım yeterli alanınız denilerek yedeklenmiyor nedenle uygulamayı bosuna yukledigimi para verdigimi dusunuyorum sorunla yardımcı olabilir misiniz|uygulama
lifebox hesabım aylık olarak duzenli odemelerimi gerceklestiriyorum hesabımda yedekledigim fotograflar vefat eden teyzeme ait sifremi unuttugum hesabıma erisim saglayamıyorum numaram degisim saglamaya calıstıgımda kullanmadıgı mail hesabıma dogrulama kodu gidiyor musteri hizmetlerini aradıgımda kullanıcı hatası oldugunu yardımcı olamayacaklarını ilettiler uslupları bozuktu hesabım destek rica ediyorum|ürün
merhabalar lifebox daki numaramı hatırlamıyorum numaramı bulabilirim lutfen yardımcı olur musunuz numaramı unuttugum giris yapamıyorum postamı biliyorum numarayı hatırlamıyorum hatırlaya bilsem acmayı saglayacagım icinde cocuklarımın kucukluk fotografları var lutfen yardımcı olun|ürün
lifebox uyeligim iptal olmus foto video arsivim silinmis acil yardım gerekiyor bilgi bekliyorum turkcell uyeligimi iptal edecegim|ürün
lifebox hesabımda postamın bir harfini eksik yazdıgım dogrulama kodu gelmiyor postamı degistiremiyorum hesabıma giris yapamıyorum fotograflarım giris yapamazsam kayboldu yapmam gerekiyor lutfen yardımcı olur musunuz|ürün
lifebox sifremi unuttum telefon numaram degisti yaptıysam eski numarama sifre kod gidiyor hesabıma giris yapamıyorum icindekiler onemli belge fotografları almam gerekiyor eposta adresimle ugrassam giris yapamıyorum yardımcı olursanız sevinirim|ürün
lifebox sifremi unuttum hesabıma giris yapamıyorum dogrulama kodunun hesabıma gelmesi gerekirken kurtarma postasına geliyor kurtarma hesabına giris yapamıyorum yuzden fotografıma erisim saglayamıyorum konu hakkında kısa surede cozum bekliyorum|ürün
lifebox kayıt oldugum numarayı degistirdigim an giris yapamıyorum mail dogrulaması basarılı numarayı gecemiyorum sifremi unuttum aylardır ugrasıyorum numara guncelleyebiliyorum numara dogrulamasını gecebiliyorum yardım edin lutfen|ürün
lifebox hesabıma giris yapamıyorum eski telefon numarama erisimim kod gonderiyor mail hesabıma erisimim var yuzlerce fotografım vardı hesabıma giris yapmak istiyorum yardımcı olur musunuz telefon numaram eski oldugundan aktif degil telefon numarasına sms gidiyor maile erisimim var|ürün
lifebox giris yaptıgım posta hesabımı sildigim lifebox gonderdigi dogrulama kodunu giremiyorum uygulamaya giris yapamıyorum fotograflarım uygulamada kaldı giris yapamıyorum posta telefon numaram giris yapmak istiyorum|uygulama
lifebox postamı yanlıs girdim posta yenileyip kodu bir gonder dememe kodu gondermiyor sorunu haziran den yasıyorum turkcell aramama ilgilenmiyoruz denilip kapatılıyor hesabımda onemli fotograflarım var|ürün
lifebox hesabım faktorlu dogrulama istiyor aktif kullandıgım telefon numaramla kayıtlı oldum hala kullanmaktayım telefon numaramla dogrulama yaptıgım halde mail adresiyle dogrulama istiyor mail adresimi hatırlamıyorum yardımcı olur musunuz|ürün
hesaba giris yapamıyorum sifremi unuttum sifremi unuttum kısmına giriyorum sekilde olmuyor eposta hesabı eski oldugu sifresini hatırlamıyorum epostayı lutfen yardımcı olun icinde gecmisten kalan resim var resimler onemli|diğer
lifebox resim videolarımı yedekledim yok uyeligim olmasına yok uygulama lifeboxa guvendim yedekledim yok yardımcı olursanız sevinirim resim videolarımı geri istiyorum sikayet edecegim yoksa|ürün
lifebox sifremi unuttum eposta adresime giris yapamadıgım lifebox sifre sıfırlama yapamıyorum telefon numaram hala kullanıyorum posta baglantı gonderiyor postaya erisim olmadıgı giris yapamıyorum yardımcı olur musunuz lutfen|ürün
ay telefonuma format atmak zorunda kaldım telefonumdaki verilerimi life box yukledim gecen gun mail geldi life boxa giremiyordum aydır sifremi falan unutmustum yeni life box yukledim maille girdigim sifreyle girdim uyenin numaram neydi birisini hatırlamıyorum bir iki gun evvel mesaj geldi maile bugun gene geldi aya belli bir zaman kurtarmazsanız verileriniz silinecek mesaj gelince bana yardımcı olmanızı istiyorum onemli telefon numaralarım videolarım falan bayagı resimlerim falan var rica ediyorum hepsini an kullanmıs oldugum life box tasınmasını istiyorum kolay gelsin mutlu olacagım haberlerinizi bekliyorum|diğer
lifebox gunler telefonum calındıgı numaramı degistirdim eposta adresime kayıtlı lifebox hesabıma erisim saglayamıyorum sifremi hatırlayamadım sifre sıfırlamayı denedim eski numarama dogrulama kodu gidiyor hattı iptal ettirdim|ürün
lifebox hesabıma giris yapamıyorum posta adresime link gonderip sifre yenileme ekranı cıktıgında numaraya kod gidiyor yazıyor telefon numarama kod gelmiyor yurt disi operatoru kullanıyorum onemli rahmetli dedemin resimleri var yardımcı olun lutfen|ürün
lifebox sifremi unuttum eposta adresime giris yapamadıgım lifebox sifre sıfırlama yapamıyorum telefon numaram hala kullanıyorum posta baglantı gonderiyor postaya erisim olmadıgı giris yapamıyorum lutfen yardımcı olur musunuz|ürün
merhaba gunler lifebox uygulamasını tahminim olarak yılında kullandım eski fotograflarıma erismek istiyorum hesabım eski gmaile kayıtlı oldugu giremiyorum girsem hesabınız bloklandı bildirim veriyor yardımcı olursanız sevinirim|uygulama
lifebox aktif kullanıyordum bir sure giris yapmadım sistemde giris yapabiliyorum yonlendirici bir bilgi var anılarım gitti resmen hesap kurtarmada yapamıyorum kötü bir durum guvenip yıllardır kullandıgım olur bir olay yasıyorum konu alakalı umarım gerekli yerlere sorun ulasır|ürün
lifebox hizmeti kullanıyorum premium uyeyim fotograflarımın bir coguna erisemiyorum sabahta gozlerimin onunde uygulama videolarımı sildi acil olarak kazanımlarımın geri iadesini rica edecegim hafta girmeme sorunu yasadım acil bir sekilde telafisini bekliyorum|uygulama
telefon degistim yeni telefona eski hesabımı giremedim sifremi bilmiyorum aksine bosta adresimi net olarak hatırlamıyorum degerli fotolarım var icinde anılarım seyim rahmetli annemle olan anılarım gitti istegim hesabımı geri almak lutfen yardımcı olun|diğer
mail adresime kod gelmiyor gunlerdir denememe bir turlu lifebox giremiyorum musterisi oldugum halde yerde sorun cozulmuyor icinde sayıda fotograf videolarım var devam ederse dava acacagım kisisel verilerinin korundugu soyleniyor kisisel verilerine ulasamıyorum|ürün
life box uyeligim var uye oldugumdan fotograflarımı yedeklemistim kızımın yasına olan anıları oradaydı bugun bir baktım silinmis izin olmadan onay alınmadan yapamazsınız paket yukselmesi gerekiyorsa arayın yukseltmek istemiyorsam fazla yedeklemeyin eskileri silmek demek anılarımı geri getirecek simdi yere sikayet edecegim sesimi duyurana kadar life box denen seye guvenmesin|diğer
lifebox uygulamasını kullanıyorum telefonum kırıldı yeni telefonuma aktarmak uygulamaya giris yaptım mail adresimin com yazması lazımken con yazıyor degistir diyorum sayıda deneme diyor so ra deneyiniz diyor gun oldu aynisini diyor bilgilerime ulasamıyorum arayıp konustum farklı operator oldugum yardımcı olamıyorlarmıs|uygulama
lifebox sifremi unuttum yeni sifre hesabımdaki aktif olan numarama kod gonderildi ardından kurtarma epostama kod gonderildi epostamı epeydir kullanmıyorum aktif degil numaram aktif hesapta olup acil olarak sorunun cozulmesini talep ediyorum bilgilerim dahilinde yeni sifre destek talep ediyorum saygılarımla|ürün
turkcell lifebox uygulamasını kullanıyorum ek hafıza ek ucret oduyorum uzun zamandır telefonda yer ac ozelligi calısmıyor benimle dalga gecer gibi sorunu tarihine cozeceklerini bir yapamayacaklarını soylediler bir teknik destekleri var bir servisleri bu yere para almak oluyor sorun hala devam ediyor iletisime gecemedim yazık|uygulama
telefon numaram var eposta hesabımın sifresini hatırlayamıyorum telefon numaram hesabımı kurtarmam mumkun mu degilse sacma mi yıllardır uygulamayı kullanıyoruz ikisini zorunlu kılıyorsunuz ki ekstra kurtarma secenegini yedek olarak ekliyoruz acil bir sekilde cozume kavusması dilegiyle|uygulama
turkcell lifebox uyeligim olmamasına ay lira fatura kesiyor sms atmama hesabınız diyor iptal edilmesini istiyorum turkcell lifebox karakter dolması tıklayın basarıya guzel bir var sordu dua sona|fatura
lifebox sifremi unuttum telefon numaramı guncelledigim erisim saglayamıyorum eposta giris yapmayı denedim eski telefon numarama sms gonderiliyor lutfen acilen ilgilenilmesini rica ediyorum ugrasmama ilgilenmiyor yeni telefon numaram guncellenmesini talep ediyorum|ürün
lifebox hesabıma giris yaptıgımda guvenlik kodu istiyor guvenlik kodu gmaile gidiyor gmaili degisip gmailime kod istiyorum gmailime gelmiyor kod lutfen yardımcı olun lutfen haber bekliyorum kısa sure icinde yardım edebilir misiniz|ürün
selamlar lifebox hesabına giris yapamıyorum kayıtlı telefon numaram var eposta giris yapamıyorum numara sıfırlamaya calıstıgımda eposta zorunlu kılınıyor gsm numarama sms alabiliyorum sorun yok lutfen konu hakkında ilgilenin guveniyoruz premium satın alıyoruz yasadıgımız olaya bakın yıllık fotograflarım videolarım rehberim sekilde ulasamıyorum lutfen gerekli kontrolleri saglayıp kimlik teyitlerini yapıp hesaba giris saglamama yardımcı olunuzkayıtlı eposta adresim email protected telefon numaram kurtarma epostası email protected telefon numaram|ürün
hesabıma sekilde giremiyorum numara degisikligi olmadı eposta aynı sekilde yardımcı olur musunuz lutfen gundur ugrasıyorum giris yapamıyorum onemli bilgilerim var onlara ulasmam lazım yardımcı olun rica ediyorum|diğer
lifebox hata veriyor error yazıyor aralık subat ayları haric eski fotograflarımı goremiyorum acil fotografları almam gerekiyor bir haftadır duzelecegini umarak bekledim sildim geri yukledim duzelmiyor lutfen yardımcı olun destek verin|ürün
dan yana uygulamayı kullanıyorum size guvenerek yıllardır yukluyorum manevi anılarım ozellikle bebegimle esimle ailemle olan gitmis arası olmus sonrası var degil sırtımı dayamısım hakla hakla kafanıza yapıyorsunuz ise yarıyor uygulama silinecek bir olsa kendim silerim bir bilgilendirme yapmadan hakla ozelimi bildiginiz silmissiniz hemen geri istiyorum kötü bir fotografın kötü bir videonun manevi acıdan buyuk onemi vardı onemliydi|uygulama
lifebox daki fotograflarımın cogunun orijinal cozunurlugu gitmis durumda yedekledigim sekildeki degiller telefonuma indirdigim zaman bozuk cozunurluk olarak geliyor nedeni nedir aradıgım halde bir yapamayız dediler bir cozum getirirseniz mutlu olurum|ürün
lifeboxe giris sorunu yasıyorum sifremi unuttum telefonumu degistirdim yuzden hesabıma giris yapamıyorum lifebox eposta adresime gelen koda tıklamamı soyluyor kod gondermiyor kod gelmedigi sifremi yenileyemiyor hesabıma giris yapamıyorum|ürün
lifebox hesabıma bir suredir giris yapmıyordum girmeye calısıyorum hesabın askıya alınmıs olabilecegini belirtiyor telefon numaram epostam aktifken bir turlu giris yapamadım lutfen yardımcı olun fotograflarım kaldı kaybolmasını istemiyorum gercekten|ürün
lifebox hesabımın eposta adresini kaybettigim hesaba giris yapamıyorum musteri hizmetlerini aradım bir yapamayız yanıtını aldım lutfen sorunu duzeltin|ürün
lifebox alakalı bir uyelik almadım yıllardır ay ucret kesiyor defalarca musteri hizmetlerini arayıp iznim olmadan uyelik tanımladıklarını sorup iptal etmelerini soyluyorum ay ucret kesilmeye devam ediyor aynı sekilde iptal etmek mesaj yazdıgımda boyle bir uyelik bulunmamaktadır mesajını aldım turkcell uygulamasında faturamı kontrol ettigimde ay ucret kesiliyor lifebox kullanmıyorum iznim olmadan cektiginiz odemelerimi iade edin uyeligi iptal edin|fatura
merhaba lifebox hesabımda tekrarlanan fotografları videoları silebilirim premium uyeligimin olmasına ragmen uyeligin ozelligini kullanamıyorum biden fazla kaydedilen fotograf videoları lifebox uygulaması uzerinden silmek istiyorum yardımcı olur musunuz acil tekrarlayan fotografları silmek istiyorum silebilirim|uygulama
merhaba lifebox hesabımın sifresini unuttum sifremi degistirmek istiyorum telefon numaram dogrulama yapıyorum eposta isteniyor eposta hesabını uzun sure kaybettim yuzden telefon numaram var hesabıma girmek istiyorum kullandıgım numara yeni bir hesap olusturulmasını talep ediyorum lifeboxa uye olmak istiyorum sorun cozulurse uye olacagım umarım duzelir yardımcı olursunuz|ürün
lifebox uygulaması ay duzenli olarak parasını almasına telefon degisikligi yuzunden uygulamayı silip tekrar yukledim resim video indirilemiyor surekli hata veriyor uygulamayı telefonlarda kullanamayacaksak anlamı var lutfen donus saglayın|uygulama
uygulamayı actıgımda karsıma epostaya gonderilen kodu gir uyarısı cıkıyor epostama kod gelmiyor uygulamayı sildim tekrar yukledim aynı uyarı karsılasıyorum sefer sayıda yanlıs giris denemesi yaptıgım hesabım kilitlendi yapmam gerekiyor kısa zamanda geri donus yapılmasını rica ediyorum|uygulama
merhaba faturamdan ay lifebox gb ucreti odeniyor sms iptal ediyorum bir tarife uyeliginiz deniliyor bosuna aylardır ucret oduyorum sikayet edecegim durumu kabul etmiyorum insan konuda magdur|fatura
fotografları saklamak indirdigim bir uygulama olan lifebox alanın yeterli olmadıgını soyledi ucretli saklama alanı aldım ayrıcalıklarından olan uygulamada olan resimleri telefondan silme asamasında denedigimde hata verdi silme islemi gerceklestirilemedi sebepten uygulama hatasının duzeltilmesini istiyorum|uygulama
